timestamp,source_ip,attack_type,target_port,protocol,confidence,evidence,latitude,longitude,country,city
"2026-04-09 21:24:00",208.83.234.151,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:00",102.67.167.245,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:00",102.67.165.90,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",185.40.234.113,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",192.73.243.135,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",162.248.221.199,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",185.40.234.113,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",185.34.3.232,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",192.73.243.135,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",162.248.221.199,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",192.73.242.187,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",192.73.252.65,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",45.159.98.196,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",192.73.242.187,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:01",192.73.252.65,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:05",172.105.179.230,PortScan,,,0.99,"Probed 2 ports | Rate: 0.04 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:07",95.217.2.165,PortScan,,,0.99,"Probed 2 ports | Rate: 0.26 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",209.177.158.15,PortScan,,,0.99,"Probed 2 ports | Rate: 0.26 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",102.67.167.37,PortScan,,,0.99,"Probed 2 ports | Rate: 0.31 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",102.67.165.185,PortScan,,,0.99,"Probed 2 ports | Rate: 0.31 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",205.147.105.30,PortScan,,,0.99,"Probed 2 ports | Rate: 0.24 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",176.58.93.147,PortScan,,,0.99,"Probed 2 ports | Rate: 0.23 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",185.34.3.207,PortScan,,,0.99,"Probed 2 ports | Rate: 0.27 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",45.159.97.61,PortScan,,,0.99,"Probed 2 ports | Rate: 0.21 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",172.238.6.179,PortScan,,,0.99,"Probed 2 ports | Rate: 0.23 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:08",176.58.88.183,PortScan,,,0.99,"Probed 2 ports | Rate: 0.24 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:09",192.73.248.83,PortScan,,,0.99,"Probed 2 ports | Rate: 0.27 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:09",192.73.240.121,PortScan,,,0.99,"Probed 2 ports | Rate: 0.23 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:09",192.73.242.28,PortScan,,,0.99,"Probed 2 ports | Rate: 0.22 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:09",162.248.221.215,PortScan,,,0.99,"Probed 2 ports | Rate: 0.27 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:10",176.58.93.147,PortScan,,,0.99,"Probed 2 ports | Rate: 0.23 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:10",95.217.2.165,PortScan,,,0.99,"Probed 2 ports | Rate: 0.23 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:10",205.147.105.30,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:10",185.34.3.207,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:11",45.159.98.196,PortScan,,,0.99,"Probed 2 ports | Rate: 0.03 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:11",209.177.145.120,PortScan,,,0.99,"Probed 2 ports | Rate: 0.62 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:11",45.159.97.61,PortScan,,,0.99,"Probed 2 ports | Rate: 0.17 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:11",176.58.88.183,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:11",172.238.6.179,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:11",209.177.145.120,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:12",162.248.221.215,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:12",209.177.158.15,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:12",209.177.158.246,PortScan,,,0.99,"Probed 2 ports | Rate: 0.17 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:12",192.73.240.121,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:12",192.73.242.28,PortScan,,,0.99,"Probed 2 ports | Rate: 0.18 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:12",192.73.248.83,PortScan,,,0.99,"Probed 2 ports | Rate: 0.19 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:17",102.67.165.185,PortScan,,,0.99,"Probed 2 ports | Rate: 0.12 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:17",102.67.167.37,PortScan,,,0.99,"Probed 2 ports | Rate: 0.13 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:38",13.78.111.199,PortScan,,,0.99,"Probed 2 ports | Rate: 9.71 p/s",19.076,72.877,India,Mumbai
"2026-04-09 21:24:39",104.208.16.92,PortScan,,,0.99,"Probed 2 ports | Rate: 6.83 p/s",19.076,72.877,India,Mumbai
